,expt,cond,rep,time (h),position (μm),redPixelRange,greenPixelRange,greenX0,redX0,GFP shift (μm),RFP shift (μm),[Ampicillin] (mg/mL),[Kanamycin] (mg/mL)
613,J4K5succ250_ampGrad,3x,2,10,-50,68-91,60-83,333.1536483965305,294.9274543304332,25.14228669441673,14.357268248103312,0.31622776601683794,
614,J4K5succ250_ampGrad,3x,2,10,0,83-106,75-98,339.7147853090732,310.5392415917483,27.446152265424075,23.308018039039663,0.31622776601683794,
615,J4K5succ250_ampGrad,3x,2,10,50,98-121,90-113,339.0656834886248,305.814108264374,22.65498104503757,25.410041597214786,0.31622776601683794,
616,J4K5succ250_ampGrad,3x,2,10,100,113-136,105-128,345.57556883998376,297.23878191507595,28.063680074907843,12.841313351374707,0.31622776601683794,
617,J4K5succ250_ampGrad,3x,2,10,150,128-152,120-143,351.32121723028825,302.49178814022207,38.201064194364854,9.105475462654,0.31622776601683794,
618,J4K5succ250_ampGrad,3x,2,10,200,143-167,135-158,352.9779775509845,296.0806552542661,40.75650057998638,13.868661427481925,0.31622776601683794,
619,J4K5succ250_ampGrad,3x,2,10,250,159-182,150-173,352.09979502651487,283.91426736929856,39.162423194604,9.136580454533657,0.31622776601683794,
620,J4K5succ250_ampGrad,3x,2,10,300,174-197,165-188,350.9615415686164,298.54614969622804,38.6567162746565,8.400069344934593,0.31622776601683794,
621,J4K5succ250_ampGrad,3x,2,10,350,189-212,180-203,358.6974572378168,310.5072974002352,47.225675368834,10.345643673342806,0.31622776601683794,
622,J4K5succ250_ampGrad,3x,2,10,400,204-227,195-218,370.7277750168399,312.82569539087064,55.79888142169119,13.757818827972644,0.31622776601683794,
623,J4K5succ250_ampGrad,3x,2,10,450,219-242,210-234,364.9454873353946,306.94459187661954,52.57101427708352,17.32750529519609,0.31622776601683794,
624,J4K5succ250_ampGrad,3x,3,0,-150,22-45,40-64,266.41929836240973,308.3222687161788,0.0,0.0,0.31622776601683794,
625,J4K5succ250_ampGrad,3x,3,0,-100,37-60,56-79,261.40137589939616,307.3260700459948,0.0,0.0,0.31622776601683794,
626,J4K5succ250_ampGrad,3x,3,0,-50,52-75,71-94,262.29831646305433,321.15261133218917,0.0,0.0,0.31622776601683794,
627,J4K5succ250_ampGrad,3x,3,0,0,67-90,86-109,253.82025923333015,318.74905418706163,0.0,0.0,0.31622776601683794,
628,J4K5succ250_ampGrad,3x,3,0,50,82-105,101-124,256.94687159702517,310.9409187150095,0.0,0.0,0.31622776601683794,
629,J4K5succ250_ampGrad,3x,3,0,100,97-120,116-139,251.9390580658332,320.9011534839513,0.0,0.0,0.31622776601683794,
630,J4K5succ250_ampGrad,3x,3,0,150,112-135,131-154,260.97973274107187,320.6638912874988,0.0,0.0,0.31622776601683794,
631,J4K5succ250_ampGrad,3x,3,0,200,127-150,146-169,260.74855724805315,329.9050497246376,0.0,0.0,0.31622776601683794,
632,J4K5succ250_ampGrad,3x,3,0,250,142-165,161-184,257.61216584118904,324.1439751068727,0.0,0.0,0.31622776601683794,
633,J4K5succ250_ampGrad,3x,3,0,300,157-180,176-199,256.8183181377753,336.7695210312233,0.0,0.0,0.31622776601683794,
